0.4139,35.0,20.0,0.4,0.2
0.4185,35.0,20.0,0.4,0.1
0.4019,35.0,24.0,0.1,1.0
0.4137,35.0,30.0,1.0,0.9
0.4121,35.0,22.0,0.1,0.9
0.4218,35.0,4.0,0.5,0.1
0.4118,35.0,24.0,0.1,0.8
0.4151,40.0,24.0,0.5,0.1
0.4148,35.0,16.0,0.5,0.2
0.4143,25.0,18.0,0.1,0.8
0.4229,30.0,28.0,0.1,0.9
0.4088,40.0,22.0,0.8,0.6
0.4174,40.0,24.0,0.4,0.1
0.4187,40.0,34.0,0.1,0.9
0.4174,40.0,12.0,0.7,0.1
0.4206,35.0,24.0,0.2,0.1
0.4217,30.0,8.0,0.9,0.1
0.4076,40.0,34.0,0.1,0.8
0.4118,40.0,10.0,0.6,0.7
0.4156,35.0,24.0,0.1,0.9
0.4445,40.0,16.0,0.6,0.8
0.4529,30.0,26.0,0.4,0.8
0.4526,35.0,30.0,0.8,1.0
0.4474,40.0,38.0,1.0,0.8
0.4518,20.0,8.0,0.2,0.5
0.4449,35.0,30.0,0.8,0.9
0.4434,35.0,16.0,0.4,0.9
0.4542,25.0,4.0,0.9,1.0
0.4430,40.0,24.0,0.4,0.2
0.4473,25.0,10.0,0.5,0.9
0.4542,25.0,6.0,0.3,0.3
0.4485,25.0,24.0,1.0,0.5
0.4437,35.0,30.0,0.8,0.7
0.4476,35.0,30.0,0.8,0.8
0.4516,30.0,14.0,0.8,1.0
0.4537,30.0,26.0,0.4,0.7
0.4598,15.0,14.0,0.2,1.0
0.4504,30.0,14.0,0.8,0.9
0.4469,35.0,24.0,0.3,0.2
0.4424,40.0,16.0,0.6,0.6
0.4745,35.0,6.0,0.6,0.6
0.4725,35.0,26.0,0.4,1.0
0.4823,10.0,4.0,0.4,1.0
0.4728,20.0,16.0,0.4,0.9
0.4795,10.0,6.0,0.1,0.8
0.4708,35.0,14.0,1.0,0.3
0.4742,40.0,38.0,0.2,1.0
0.4706,35.0,18.0,0.4,0.5
0.4670,35.0,18.0,0.4,0.6
0.4737,15.0,12.0,0.6,0.9
0.4695,30.0,16.0,0.6,0.6
0.4661,40.0,34.0,0.8,1.0
0.4694,40.0,38.0,1.0,0.8
0.4782,20.0,16.0,0.4,1.0
0.4782,15.0,10.0,0.4,0.9
0.4752,35.0,14.0,1.0,0.4
0.4761,30.0,22.0,0.4,0.8
0.4760,35.0,16.0,0.9,0.8
0.4782,30.0,26.0,0.8,0.9
0.4750,40.0,8.0,0.1,0.4
0.4887,25.0,14.0,0.8,0.1
0.4880,40.0,38.0,1.0,0.4
0.4864,40.0,4.0,1.0,1.0
0.4914,25.0,16.0,0.1,0.9
0.4888,35.0,12.0,0.5,0.7
0.4966,15.0,8.0,0.5,1.0
0.4877,40.0,12.0,0.9,1.0
0.4891,30.0,12.0,0.3,0.4
0.4910,15.0,6.0,0.3,0.8
0.4890,40.0,8.0,0.6,0.8
0.4870,40.0,34.0,0.9,0.2
0.4891,35.0,12.0,0.5,0.5
0.4867,40.0,32.0,0.2,0.4
0.4888,40.0,20.0,0.5,0.3
0.4926,35.0,24.0,0.2,0.7
0.4888,40.0,34.0,0.1,0.4
0.4891,35.0,12.0,0.5,0.6
0.4912,30.0,14.0,0.8,0.2
0.4988,20.0,8.0,1.0,0.2
0.4892,40.0,22.0,0.9,1.0
